Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3,init_lr,weight_decay,layers,layer_width,activation,epochs
0,5,8,9.943117406989786e-05,4.412026401307047e-05,5.347832539165815e-05,1e-05,1e-08,2,25,ReLU,200
0,5,8,0.00014084494648186556,5.400612515605467e-05,9.223817161010783e-05,1e-05,1e-08,2,25,Tanh,200
0,5,8,6.060936638231476e-05,1.580691341411117e-05,6.5791673375850135e-06,1e-05,1e-08,2,50,ReLU,200
0,5,8,0.0001282335739639076,5.580108045203781e-05,7.897111674316372e-05,1e-05,1e-08,2,50,Tanh,200
0,5,8,4.4619499779878636e-05,6.172715025980068e-06,3.4706706708396385e-06,1e-05,1e-08,2,100,ReLU,200
0,5,8,0.00011602488996884177,4.2498412529620956e-05,3.6385183537035326e-05,1e-05,1e-08,2,100,Tanh,200
0,5,8,3.971465507164618e-05,3.3889482726287916e-06,2.341994220464975e-06,1e-05,1e-08,2,150,ReLU,200
0,5,8,0.000146377244980781,3.942374602049633e-05,3.169318983911207e-05,1e-05,1e-08,2,150,Tanh,200
0,5,8,0.00010903646684660727,4.7684301732635594e-05,1.7588996536798985e-05,1e-05,1e-08,3,25,ReLU,200
0,5,8,0.00013364908128665702,6.347047555270744e-05,9.781708735846206e-05,1e-05,1e-08,3,25,Tanh,200
0,5,8,7.577618994950843e-05,2.3105536655124683e-05,7.763225217729743e-06,1e-05,1e-08,3,50,ReLU,200
0,5,8,0.00020330745907889663,4.5407524645861275e-05,7.479430791960884e-05,1e-05,1e-08,3,50,Tanh,200
0,5,8,5.2464178557273965e-05,1.0224337374177615e-05,4.114768358176124e-06,1e-05,1e-08,3,100,ReLU,200
0,5,8,0.00013575106636759705,3.0063973804433904e-05,1.5497317475721314e-05,1e-05,1e-08,3,100,Tanh,200
0,5,8,3.771348934404348e-05,3.1927843418875694e-06,2.4822465491861354e-06,1e-05,1e-08,3,150,ReLU,200
0,5,8,0.00011116610950938839,4.201556939805285e-05,1.7277920867416457e-05,1e-05,1e-08,3,150,Tanh,200
0,5,8,0.00013057048223535434,6.128399284544348e-05,2.5923845569623583e-05,1e-05,1e-08,5,25,ReLU,200
0,5,8,0.00011204415525360961,2.741145322348366e-05,7.061411018880847e-06,1e-05,1e-08,5,25,Tanh,200
0,5,8,6.524755816391512e-05,1.530466450650076e-05,4.4491257892633296e-06,1e-05,1e-08,5,50,ReLU,200
0,5,8,0.00013456795211227575,1.9506283993557508e-05,3.985912118174075e-06,1e-05,1e-08,5,50,Tanh,200
0,5,8,3.7317650931685976e-05,3.3557765823426914e-06,2.9403955749493495e-06,1e-05,1e-08,5,100,ReLU,200
0,5,8,6.1020072731222366e-05,6.315596553057988e-06,3.2758294909924817e-06,1e-05,1e-08,5,100,Tanh,200
0,5,8,3.667536873004877e-05,2.5369387744702194e-06,2.0118726571869833e-06,1e-05,1e-08,5,150,ReLU,200
0,5,8,7.574409597624053e-05,1.5891805420956828e-05,1.1577742021465767e-05,1e-05,1e-08,5,150,Tanh,200
0,5,8,0.00016024642856098066,0.0006022682012181532,0.00040617414291863204,1e-05,1e-08,10,25,ReLU,200
0,5,8,0.00013537061639944502,2.928393537317655e-05,4.410081898954509e-05,1e-05,1e-08,10,25,Tanh,200
0,5,8,9.902653700171219e-05,3.600942529349481e-05,1.5593674434751907e-05,1e-05,1e-08,10,50,ReLU,200
0,5,8,0.00013967166750528036,9.892718862755324e-06,6.389209676668179e-06,1e-05,1e-08,10,50,Tanh,200
0,5,8,5.669929615849087e-05,7.584393887306508e-06,8.647093035350366e-06,1e-05,1e-08,10,100,ReLU,200
0,5,8,0.00011765410763501257,5.5184619265474085e-06,5.306676950378347e-06,1e-05,1e-08,10,100,Tanh,200
0,5,8,4.571882163072999e-05,1.1681384283224678e-05,3.4138262371766454e-06,1e-05,1e-08,10,150,ReLU,200
0,5,8,0.0001007438587545183,6.019706349906288e-06,4.8423158533621125e-06,1e-05,1e-08,10,150,Tanh,200
0,5,8,9.2044185784005e-05,3.4702980313007244e-05,1.4020279540733487e-05,1e-05,1e-07,2,25,ReLU,200
0,5,8,0.00012937180396538074,4.3917146693787576e-05,1.8689064300814344e-05,1e-05,1e-07,2,25,Tanh,200
0,5,8,5.5758032460356984e-05,2.5533738791169725e-05,9.589467812213906e-06,1e-05,1e-07,2,50,ReLU,200
0,5,8,0.0001254134700965476,4.839449611938865e-05,2.7786241706592832e-05,1e-05,1e-07,2,50,Tanh,200
0,5,8,4.0069147657022994e-05,1.1511733123549985e-05,6.122624615787285e-06,1e-05,1e-07,2,100,ReLU,200
0,5,8,0.00014885164668143068,3.717604483841973e-05,1.0263132230994918e-05,1e-05,1e-07,2,100,Tanh,200
0,5,8,4.36558471796933e-05,2.9762407105210007e-06,2.373228262787143e-06,1e-05,1e-07,2,150,ReLU,200
0,5,8,9.458291993757255e-05,2.5318765586003254e-05,1.3680140945801914e-05,1e-05,1e-07,2,150,Tanh,200
0,5,8,0.00010288326895556756,4.2056374344690126e-05,1.9326365860252085e-05,1e-05,1e-07,3,25,ReLU,200
0,5,8,0.00013762702312471024,3.299079716221252e-05,5.798060655746723e-05,1e-05,1e-07,3,25,Tanh,200
0,5,8,6.460292871446056e-05,1.747168897607955e-05,5.653346748594652e-06,1e-05,1e-07,3,50,ReLU,200
0,5,8,0.0001139667730634684,2.5143524679824093e-05,4.462799778358209e-06,1e-05,1e-07,3,50,Tanh,200
0,5,8,5.552138004878729e-05,1.1755600890889567e-05,1.0596822884932264e-05,1e-05,1e-07,3,100,ReLU,200
0,5,8,0.00010820827269617253,3.7181468734170797e-05,2.1432574697992748e-05,1e-05,1e-07,3,100,Tanh,200
0,5,8,2.7503287084933294e-05,2.141183874626828e-06,1.8086659564858847e-06,1e-05,1e-07,3,150,ReLU,200
0,5,8,9.643546091034443e-05,1.9772274686183443e-05,5.900040656210129e-06,1e-05,1e-07,3,150,Tanh,200
0,5,8,9.579064005542107e-05,6.73217984201114e-05,6.715452337497525e-05,1e-05,1e-07,5,25,ReLU,200
0,5,8,0.00011776179893351944,3.052889228461543e-05,2.028347915886804e-05,1e-05,1e-07,5,25,Tanh,200
0,5,8,6.531616627510043e-05,8.83353516244242e-06,4.52312429772677e-06,1e-05,1e-07,5,50,ReLU,200
0,5,8,0.0001369059460087291,4.302559123212834e-05,3.154949781460456e-05,1e-05,1e-07,5,50,Tanh,200
0,5,8,4.793559998568205e-05,5.939508280958381e-06,2.8708128188162956e-06,1e-05,1e-07,5,100,ReLU,200
0,5,8,9.702192149458491e-05,2.3942274807185903e-05,1.7814813507093882e-05,1e-05,1e-07,5,100,Tanh,200
0,5,8,3.7121995974531695e-05,2.3568243942412322e-06,1.982302005310417e-06,1e-05,1e-07,5,150,ReLU,200
0,5,8,6.191624749577265e-05,4.602507049260988e-06,5.949330967400842e-06,1e-05,1e-07,5,150,Tanh,200
0,5,8,0.00015018616037124484,0.0006027035051686084,0.00040849362066068594,1e-05,1e-07,10,25,ReLU,200
0,5,8,0.00014938451359128776,0.0006909500869107858,0.00044451008122040167,1e-05,1e-07,10,25,Tanh,200
0,5,8,6.690741840787676e-05,1.508354662614856e-05,6.892529025283423e-06,1e-05,1e-07,10,50,ReLU,200
0,5,8,0.00012292396711772018,1.0724955213399312e-05,8.240882866619204e-06,1e-05,1e-07,10,50,Tanh,200
0,5,8,3.92649488752114e-05,9.232425384427484e-06,7.385105149056396e-06,1e-05,1e-07,10,100,ReLU,200
0,5,8,0.00011329997283790359,7.959042508780758e-06,6.097742720631698e-06,1e-05,1e-07,10,100,Tanh,200
0,5,8,5.332102913501977e-05,3.5462502464648186e-06,2.775116947869188e-06,1e-05,1e-07,10,150,ReLU,200
0,5,8,0.00010419308183603422,1.2220522201365776e-05,8.956074152619375e-06,1e-05,1e-07,10,150,Tanh,200
0,5,8,0.00011611605627029353,4.465891847381536e-05,4.319477741044995e-05,1e-05,1e-06,2,25,ReLU,200
0,5,8,0.0001349966298448403,0.00011846488812801725,0.0001410070284721439,1e-05,1e-06,2,25,Tanh,200
0,5,8,6.850341277019036e-05,1.8342655432574288e-05,8.246276945859043e-06,1e-05,1e-06,2,50,ReLU,200
0,5,8,0.00014018444984682836,6.724695938022403e-05,8.277088883391499e-05,1e-05,1e-06,2,50,Tanh,200
0,5,8,5.195643583515372e-05,9.194998836613272e-06,4.949637776043029e-06,1e-05,1e-06,2,100,ReLU,200
0,5,8,0.0001837136467959513,4.299813777175949e-05,2.8698942831049282e-05,1e-05,1e-06,2,100,Tanh,200
0,5,8,4.5127988989618014e-05,7.728792815680529e-06,4.13980795888042e-06,1e-05,1e-06,2,150,ReLU,200
0,5,8,0.00025842225035599707,4.901169590172236e-05,4.28524301721419e-05,1e-05,1e-06,2,150,Tanh,200
0,5,8,9.359400147539298e-05,3.752852229281137e-05,3.619581710521367e-05,1e-05,1e-06,3,25,ReLU,200
0,5,8,0.0001619180389027863,6.680292224255575e-05,8.608480776312421e-05,1e-05,1e-06,3,25,Tanh,200
0,5,8,5.259824202199642e-05,2.0097156426675694e-05,6.301541672229326e-06,1e-05,1e-06,3,50,ReLU,200
0,5,8,0.00011650186677457837,3.28038040120479e-05,1.604866154530625e-05,1e-05,1e-06,3,50,Tanh,200
0,5,8,4.8134845812886544e-05,8.363655595351755e-06,4.896457933994884e-06,1e-05,1e-06,3,100,ReLU,200
0,5,8,0.0001172476871103848,3.078526688924485e-05,1.8669262326983656e-05,1e-05,1e-06,3,100,Tanh,200
0,5,8,3.9995822643569814e-05,4.437946983366471e-06,2.3101479955279953e-06,1e-05,1e-06,3,150,ReLU,200
0,5,8,9.934644877222039e-05,1.4429813128226544e-05,5.8799767849473285e-06,1e-05,1e-06,3,150,Tanh,200
0,5,8,8.971805791256111e-05,3.5126150559793476e-05,1.734689797844733e-05,1e-05,1e-06,5,25,ReLU,200
0,5,8,0.00014107325958298743,2.6608863541873022e-05,9.09453771578833e-06,1e-05,1e-06,5,25,Tanh,200
0,5,8,6.60736214184531e-05,1.3882616310165522e-05,9.548715694632823e-06,1e-05,1e-06,5,50,ReLU,200
0,5,8,0.0001123081286481253,2.2019101520226925e-05,9.887393960872922e-06,1e-05,1e-06,5,50,Tanh,200
0,5,8,4.449234791799211e-05,8.437530039925532e-06,1.0196046561320356e-05,1e-05,1e-06,5,100,ReLU,200
0,5,8,7.734986418956758e-05,8.476311730328977e-06,4.689409806662285e-06,1e-05,1e-06,5,100,Tanh,200
0,5,8,4.174721929042624e-05,4.741214546024278e-06,2.5677492900389536e-06,1e-05,1e-06,5,150,ReLU,200
0,5,8,6.314353496033822e-05,6.000335648907062e-06,3.6995492331218254e-06,1e-05,1e-06,5,150,Tanh,200
0,5,8,8.181832625313968e-05,9.100562729168236e-05,0.0001158570394561274,1e-05,1e-06,10,25,ReLU,200
0,5,8,0.00013531317759901874,0.00019545228102364545,0.0002374748849549141,1e-05,1e-06,10,25,Tanh,200
0,5,8,8.518997184800162e-05,1.6494266486285158e-05,6.472625201925606e-06,1e-05,1e-06,10,50,ReLU,200
0,5,8,0.00012970424457701133,9.178710554573607e-06,6.288009770860867e-06,1e-05,1e-06,10,50,Tanh,200
0,5,8,5.5852125429494346e-05,1.4420071549897196e-05,1.4807235003008951e-05,1e-05,1e-06,10,100,ReLU,200
0,5,8,0.00012927279916132757,8.437083282429202e-06,6.505192015028252e-06,1e-05,1e-06,10,100,Tanh,200
0,5,8,4.419789164818505e-05,5.03851937859237e-06,3.1028900920791637e-06,1e-05,1e-06,10,150,ReLU,200
0,5,8,0.00011967752733035423,6.584572070654897e-06,7.005018482641771e-06,1e-05,1e-06,10,150,Tanh,200
0,5,8,9.577721025234905e-05,6.679646007268126e-06,5.624946327940283e-06,0.0001,1e-08,2,25,ReLU,200
0,5,8,7.858677729972926e-05,2.4401169462497324e-06,1.999413074857721e-06,0.0001,1e-08,2,25,Tanh,200
0,5,8,3.3679927165214816e-05,1.9338873145402877e-05,1.8380580096765742e-05,0.0001,1e-08,2,50,ReLU,200
0,5,8,9.971341324396684e-05,1.6534538654326138e-05,7.989944375092447e-06,0.0001,1e-08,2,50,Tanh,200
0,5,8,1.934245096930942e-05,9.178792527765604e-07,9.82665133988995e-07,0.0001,1e-08,2,100,ReLU,200
0,5,8,4.041815853259681e-05,1.4775535833199084e-06,1.907989387847584e-06,0.0001,1e-08,2,100,Tanh,200
0,5,8,1.8752330645770047e-05,1.2156398523599894e-06,8.578251008866712e-07,0.0001,1e-08,2,150,ReLU,200
0,5,8,3.896446639536276e-05,2.811288742394653e-06,3.440597526277333e-06,0.0001,1e-08,2,150,Tanh,200
0,5,8,5.390872279294155e-05,1.2094912452988305e-05,1.1853594629723026e-05,0.0001,1e-08,3,25,ReLU,200
0,5,8,5.351796512886012e-05,3.182336435295661e-06,1.7687069094432092e-06,0.0001,1e-08,3,25,Tanh,200
0,5,8,4.1217255950797485e-05,3.2325696194288526e-06,1.9654444387920774e-06,0.0001,1e-08,3,50,ReLU,200
0,5,8,4.277442218917712e-05,2.288533084161803e-06,1.4891127121352083e-06,0.0001,1e-08,3,50,Tanh,200
0,5,8,1.7307322504024366e-05,1.6163337650843821e-06,1.8426843888500355e-06,0.0001,1e-08,3,100,ReLU,200
0,5,8,5.051878861306038e-05,1.0612828327928307e-05,2.204416518341289e-06,0.0001,1e-08,3,100,Tanh,200
0,5,8,3.6086874290602975e-05,3.567354953083737e-05,2.1968291209053755e-05,0.0001,1e-08,3,150,ReLU,200
0,5,8,5.472061292458858e-05,8.658643086202521e-07,8.696767157271215e-07,0.0001,1e-08,3,150,Tanh,200
0,5,8,5.151963373991415e-05,9.653478306481201e-06,7.222246198562447e-06,0.0001,1e-08,5,25,ReLU,200
0,5,8,9.251725868675371e-05,5.139246081290514e-06,2.634903257716325e-06,0.0001,1e-08,5,25,Tanh,200
0,5,8,3.9170930580601366e-05,5.630696690372938e-06,2.0007078434413104e-06,0.0001,1e-08,5,50,ReLU,200
0,5,8,7.172497314259589e-05,8.175258369410255e-06,5.587385856079083e-06,0.0001,1e-08,5,50,Tanh,200
0,5,8,2.3035718013323005e-05,4.60312784484665e-06,3.373091711092527e-06,0.0001,1e-08,5,100,ReLU,200
0,5,8,3.131534846176837e-05,1.871871303052234e-06,2.527388238445126e-06,0.0001,1e-08,5,100,Tanh,200
0,5,8,1.5041698332214636e-05,6.034795526376636e-06,3.3201564601293525e-06,0.0001,1e-08,5,150,ReLU,200
0,5,8,1.9871229440971668e-05,2.016608124763215e-06,2.36363545540859e-06,0.0001,1e-08,5,150,Tanh,200
0,5,8,5.768661308878673e-05,9.304800452354235e-06,4.6836140147616695e-06,0.0001,1e-08,10,25,ReLU,200
0,5,8,9.990129699320319e-05,3.850403536810979e-06,2.200656525699195e-06,0.0001,1e-08,10,25,Tanh,200
0,5,8,5.974108831696109e-05,2.232449938734913e-05,1.1854633300320062e-05,0.0001,1e-08,10,50,ReLU,200
0,5,8,4.004758956011708e-05,7.625722660644711e-06,1.932461482501844e-05,0.0001,1e-08,10,50,Tanh,200
0,5,8,2.3391136495325866e-05,7.219797545046483e-06,5.875300826133949e-06,0.0001,1e-08,10,100,ReLU,200
0,5,8,2.3534456204521146e-05,2.722013323500191e-06,2.3881154018280555e-06,0.0001,1e-08,10,100,Tanh,200
0,5,8,2.6834817224024025e-05,1.3408959045155107e-06,1.4844502002739227e-06,0.0001,1e-08,10,150,ReLU,200
0,5,8,4.994944745128852e-05,1.7910804346169041e-06,2.6598026120707667e-06,0.0001,1e-08,10,150,Tanh,200
0,5,8,7.024810379278297e-05,7.090872597596933e-06,3.5875724477947573e-06,0.0001,1e-07,2,25,ReLU,200
0,5,8,6.317594595315048e-05,5.063313784463652e-06,3.7524452826527393e-06,0.0001,1e-07,2,25,Tanh,200
0,5,8,3.7014313821499516e-05,3.95406102112036e-06,3.9180297341827415e-06,0.0001,1e-07,2,50,ReLU,200
0,5,8,7.024758632457703e-05,1.9317656857312937e-06,1.9167602681342233e-06,0.0001,1e-07,2,50,Tanh,200
0,5,8,4.602036985425992e-05,2.3769524803182746e-06,1.8970511380615128e-06,0.0001,1e-07,2,100,ReLU,200
0,5,8,5.066754273129711e-05,3.640008673518463e-06,2.7561322038882197e-06,0.0001,1e-07,2,100,Tanh,200
0,5,8,2.4109945993926625e-05,6.7201768009382645e-06,7.037323761581068e-06,0.0001,1e-07,2,150,ReLU,200
0,5,8,5.2212304651711045e-05,1.674111283209462e-05,9.200141138062761e-06,0.0001,1e-07,2,150,Tanh,200
0,5,8,4.2704521311936595e-05,6.099075426329169e-06,3.966959584513154e-06,0.0001,1e-07,3,25,ReLU,200
0,5,8,8.434944528696502e-05,2.9365165022106483e-06,2.2134726181514305e-06,0.0001,1e-07,3,25,Tanh,200
0,5,8,4.459986895260256e-05,4.360735209282722e-06,2.7877472457076716e-06,0.0001,1e-07,3,50,ReLU,200
0,5,8,5.575311466701727e-05,2.2155780530073073e-06,1.543926366488511e-06,0.0001,1e-07,3,50,Tanh,200
0,5,8,2.3695828710292977e-05,9.933051351335927e-07,1.376033493335274e-06,0.0001,1e-07,3,100,ReLU,200
0,5,8,3.859808303555254e-05,8.88816143515913e-06,7.465773552831011e-06,0.0001,1e-07,3,100,Tanh,200
0,5,8,1.9684018196077786e-05,2.722213027282197e-06,1.390672105209502e-06,0.0001,1e-07,3,150,ReLU,200
